#gene	source(s)
TUBA1B	https://dx.doi.org/10.1002/humu.22033
TUBA1C	https://dx.doi.org/10.1002/humu.22033
TUBA3C	https://dx.doi.org/10.1002/humu.22033
TUBA3D	https://dx.doi.org/10.1002/humu.22033
TUBB	https://dx.doi.org/10.1002/humu.22033
TUBB2A	https://dx.doi.org/10.1002/humu.22033
TUBB2B	https://dx.doi.org/10.1002/humu.22033
TUBB8	https://dx.doi.org/10.1002/humu.22033
TUBG1	https://dx.doi.org/10.1002/humu.22033
TUBG2	https://dx.doi.org/10.1002/humu.22033
TVP23B	https://dx.doi.org/10.1002/humu.22033
TVP23C	https://dx.doi.org/10.1002/humu.22033
TVP23C-CDRT4	https://dx.doi.org/10.1002/humu.22033
UBB	https://dx.doi.org/10.1002/humu.22033
UBC	https://dx.doi.org/10.1002/humu.22033
UBE2L3	https://dx.doi.org/10.1002/humu.22033
UBE2Q2L	https://dx.doi.org/10.1002/humu.22033
UBTFL1	https://dx.doi.org/10.1002/humu.22033
UGT1A5	https://dx.doi.org/10.1002/humu.22033
UGT2B11	https://dx.doi.org/10.1002/humu.22033
UGT2B15	https://dx.doi.org/10.1002/humu.22033
UGT2B17	https://dx.doi.org/10.1002/humu.22033
ULBP2	https://dx.doi.org/10.1002/humu.22033
UNC93B1	https://dx.doi.org/10.1002/humu.22033
UPK3B	https://dx.doi.org/10.1002/humu.22033
UPK3BL	https://dx.doi.org/10.1002/humu.22033
USP17L1	https://dx.doi.org/10.1002/humu.22033
USP17L10	https://dx.doi.org/10.1002/humu.22033
USP17L11	https://dx.doi.org/10.1002/humu.22033
USP17L12	https://dx.doi.org/10.1002/humu.22033
USP17L13	https://dx.doi.org/10.1002/humu.22033
USP17L15	https://dx.doi.org/10.1002/humu.22033
USP17L17	https://dx.doi.org/10.1002/humu.22033
USP17L18	https://dx.doi.org/10.1002/humu.22033
USP17L19	https://dx.doi.org/10.1002/humu.22033
USP17L2	https://dx.doi.org/10.1002/humu.22033
USP17L20	https://dx.doi.org/10.1002/humu.22033
USP17L21	https://dx.doi.org/10.1002/humu.22033
USP17L22	https://dx.doi.org/10.1002/humu.22033
USP17L24	https://dx.doi.org/10.1002/humu.22033
USP17L25	https://dx.doi.org/10.1002/humu.22033
USP17L26	https://dx.doi.org/10.1002/humu.22033
USP17L27	https://dx.doi.org/10.1002/humu.22033
USP17L28	https://dx.doi.org/10.1002/humu.22033
USP17L29	https://dx.doi.org/10.1002/humu.22033
USP17L3	https://dx.doi.org/10.1002/humu.22033
USP17L30	https://dx.doi.org/10.1002/humu.22033
USP17L4	https://dx.doi.org/10.1002/humu.22033
USP17L5	https://dx.doi.org/10.1002/humu.22033
USP17L7	https://dx.doi.org/10.1002/humu.22033
USP17L8	https://dx.doi.org/10.1002/humu.22033
USP18	https://dx.doi.org/10.1002/humu.22033
USP32	https://dx.doi.org/10.1002/humu.22033
USP6	https://dx.doi.org/10.1002/humu.22033
VCX	https://dx.doi.org/10.1002/humu.22033
VCX2	https://dx.doi.org/10.1002/humu.22033
VCX3A	https://dx.doi.org/10.1002/humu.22033
VCX3B	https://dx.doi.org/10.1002/humu.22033
VCY	https://dx.doi.org/10.1002/humu.22033
VCY1B	https://dx.doi.org/10.1002/humu.22033
VN1R4	https://dx.doi.org/10.1002/humu.22033
VWF	https://dx.doi.org/10.1002/humu.22033
WASH1	https://dx.doi.org/10.1002/humu.22033
WBSCR16	https://dx.doi.org/10.1002/humu.22033
WDR72	https://dx.doi.org/10.1002/humu.22033
XAGE1A	https://dx.doi.org/10.1002/humu.22033
XAGE1B	https://dx.doi.org/10.1002/humu.22033
XAGE1C	https://dx.doi.org/10.1002/humu.22033
XAGE1D	https://dx.doi.org/10.1002/humu.22033
XAGE1E	https://dx.doi.org/10.1002/humu.22033
XAGE2	https://dx.doi.org/10.1002/humu.22033
XKR3	https://dx.doi.org/10.1002/humu.22033
XKRY	https://dx.doi.org/10.1002/humu.22033
XKRY2	https://dx.doi.org/10.1002/humu.22033
YTHDF2	https://dx.doi.org/10.1002/humu.22033
ZC3H11A	https://dx.doi.org/10.1002/humu.22033
ZDHHC11	https://dx.doi.org/10.1002/humu.22033
ZNF124	https://dx.doi.org/10.1002/humu.22033
ZNF140	https://dx.doi.org/10.1002/humu.22033
ZNF26	https://dx.doi.org/10.1002/humu.22033
ZNF286A	https://dx.doi.org/10.1002/humu.22033
ZNF286B	https://dx.doi.org/10.1002/humu.22033
ZNF320	https://dx.doi.org/10.1002/humu.22033
ZNF322	https://dx.doi.org/10.1002/humu.22033
ZNF324	https://dx.doi.org/10.1002/humu.22033
ZNF324B	https://dx.doi.org/10.1002/humu.22033
ZNF354A	https://dx.doi.org/10.1002/humu.22033
ZNF417	https://dx.doi.org/10.1002/humu.22033
ZNF419	https://dx.doi.org/10.1002/humu.22033
ZNF440	https://dx.doi.org/10.1002/humu.22033
ZNF443	https://dx.doi.org/10.1002/humu.22033
ZNF451	https://dx.doi.org/10.1002/humu.22033
ZNF479	https://dx.doi.org/10.1002/humu.22033
ZNF492	https://dx.doi.org/10.1002/humu.22033
ZNF552	https://dx.doi.org/10.1002/humu.22033
ZNF585A	https://dx.doi.org/10.1002/humu.22033
ZNF585B	https://dx.doi.org/10.1002/humu.22033
ZNF587	https://dx.doi.org/10.1002/humu.22033
ZNF592	https://dx.doi.org/10.1002/humu.22033
ZNF605	https://dx.doi.org/10.1002/humu.22033
ZNF658	https://dx.doi.org/10.1002/humu.22033
ZNF674	https://dx.doi.org/10.1002/humu.22033
ZNF69	https://dx.doi.org/10.1002/humu.22033
ZNF705A	https://dx.doi.org/10.1002/humu.22033
ZNF705B	https://dx.doi.org/10.1002/humu.22033
ZNF705D	https://dx.doi.org/10.1002/humu.22033
ZNF705E	https://dx.doi.org/10.1002/humu.22033
ZNF705G	https://dx.doi.org/10.1002/humu.22033
ZNF717	https://dx.doi.org/10.1002/humu.22033
ZNF773	https://dx.doi.org/10.1002/humu.22033
ZNF799	https://dx.doi.org/10.1002/humu.22033
ZNF814	https://dx.doi.org/10.1002/humu.22033
ZNF84	https://dx.doi.org/10.1002/humu.22033
ZNF852	https://dx.doi.org/10.1002/humu.22033
ZNF91	https://dx.doi.org/10.1002/humu.22033
ZNF98	https://dx.doi.org/10.1002/humu.22033
ZP3	https://dx.doi.org/10.1002/humu.22033
ZXDA	https://dx.doi.org/10.1002/humu.22033
ZXDB	https://dx.doi.org/10.1002/humu.22033
