#PFAM_ID	DESCRIPTION
PF15234	Linker for activation of T-cells
PF15703	Linker for activation of T-cells family member 2
PF10279	Latarcin precursor
PF17861	Laterosporulin defensin-like peptide
PF06907	Latexin
PF00500	L1 (late) protein
PF00513	Late Protein L2
PF02354	Latrophilin Cytoplasmic C-terminal region
PF15658	Latrotoxin C-terminal domain
PF15681	Lymphocyte activation family X
PF18177	La HTH in kinetoplastid DICER domain
PF15317	Cardiac transcription factor regulator, Developmental protein
PF01273	LBP / BPI / CETP family, N-terminal domain
PF02886	LBP / BPI / CETP family, C-terminal domain
PF17386	Lacto-N-biose phosphorylase C-terminal domain
PF17385	Lacto-N-biose phosphorylase central domain
PF09465	Lamin-B receptor of TUDOR domain
PF02450	Lecithin:cholesterol acyltransferase
PF03815	LCCL domain
PF09798	DNA damage checkpoint protein
PF14672	Late cornified envelope 
PF15858	Late cornified envelope protein 6A family
PF12197	Bacillus cereus group antimicrobial protein
PF18599	Limiting CO2-inducible proteins B/C beta carbonyic anhydrases
PF04072	Leucine carboxyl methyltransferase
PF11632	Lactococcin G-beta
PF07216	LcrG protein
PF09621	Type III secretion system regulator (LcrR)
PF04792	V antigen (LcrV) protein
PF13002	Arrestin_N terminal like
PF18306	SLOG cluster4 family
PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF00056	lactate/malate dehydrogenase, NAD binding domain
PF02615	Malate/L-lactate dehydrogenase
PF18566	Linalool dehydratase/isomerase
PF00057	Low-density lipoprotein receptor domain class A
PF00058	Low-density lipoprotein receptor repeat class B
PF12617	Iron-Sulfur binding protein C terminal
PF13940	Toxin Ldr, type I toxin-antitoxin system
PF17969	L,D-transpeptidase C-terminal domain
PF18163	SLOG cluster2
PF18180	SLOG cluster3 family
PF08252	arg-2/CPA1 leader peptide 
PF08253	Erm Leader peptide 
PF08254	Threonine leader peptide
PF08255	Trp-operon Leader Peptide
PF07359	Liver-expressed antimicrobial peptide 2 precursor (LEAP-2)
PF03760	Late embryogenesis abundant (LEA) group 1 
PF03168	Late embryogenesis abundant protein
PF03242	Late embryogenesis abundant protein
PF02987	Late embryogenesis abundant protein
PF00477	Small hydrophilic plant seed protein
PF10714	Late embryogenesis abundant protein 18
PF15619	Ciliary protein causing Leber congenital amaurosis disease
PF00059	Lectin C-type domain
PF18022	Ricin-type beta-trefoil lectin C-terminal domain
PF03388	Legume-like lectin family
PF00139	Legume lectin domain
PF18560	Lectin like domain
PF03954	Hepatic lectin, N-terminal domain
PF11467	Lens epithelium-derived growth factor (LEDGF) 
PF05098	Late expression factor 4 (LEF-4)
PF04941	Late expression factor 8 (LEF-8)
PF05094	Late expression factor 9 (LEF-9)
PF05612	Leg1
PF18654	LegC3 N-terminal coiled-coil domain
PF05150	Legionella pneumophila major outer membrane protein precursor
PF07858	Limonene-1,2-epoxide hydrolase catalytic domain
PF15042	Late cornified envelope-like proline-rich protein 1
PF03020	LEM domain
PF04011	LemA family
PF08262	Leucophaea maderae tachykinin-related peptide 
PF02998	Lentiviral Tat protein
PF05851	Lentivirus virion infectivity factor (VIF)
PF07401	Bovine Lentivirus VIF protein
PF04004	Leo1-like protein
PF15221	Lens epithelial cell protein LEP503
PF06421	GTP-binding protein LepA C-terminus
PF18227	LepB GAP domain C-terminal subdomain
PF18172	LepB GAP domain N-terminal subdomain
PF18640	LepB N-terminal domain
PF02024	Leptin
PF06328	Ig-like C2-type domain
PF07766	LETM1-like protein
PF19324	LETM1 domain-containing protein LETM2 N-terminus
PF08502	LeuA allosteric (dimerisation) domain
PF14795	Leucine-tRNA synthetase-specific domain
PF09127	Leukotriene A4 hydrolase, C-terminal
PF07968	Leukocidin/Hemolysin toxin family
PF08054	Leucine operon leader peptide
PF03588	Leucyl/phenylalanyl-tRNA protein transferase
PF15294	Leucine zipper
PF01819	Levivirus coat protein
PF01726	LexA DNA binding domain
PF11488	Transcriptional regulatory protein LGE1
PF08310	LGFP repeat
PF08596	Lethal giant larvae(Lgl) like, C-terminal
PF01790	Prolipoprotein diacylglyceryl transferase
PF00556	Antenna complex alpha/beta subunit
PF14411	A nuclease of the HNH/ENDO VII superfamily with conserved LHH
PF19306	Helicase Lhr winged helix domain
PF16881	N-terminal domain of lipoyl synthase of Radical_SAM family
PF04991	LicD family
PF17916	LIM interaction domain (LID)
PF18641	LidA long coiled-coil domain
PF10230	Lipid-droplet associated hydrolase
PF17971	Leukemia inhibitory factor receptor D2 domain
PF18207	Leukemia inhibitory factor receptor N-terminal domain
PF01291	LIF / OSM family
PF16759	DNA ligase 3 BRCT domain
PF07746	Aromatic-ring-opening dioxygenase LigAB, LigA subunit
PF00549	CoA-ligase
PF19045	Ligase-CoA domain
PF02900	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF13298	DNA polymerase Ligase (LigD)
PF02834	LigT like Phosphoesterase
PF19301	LigXa C-terminal domain like
PF18330	Ligase Pab1020 C-terminal region
PF00060	Ligand-gated ion channel
PF10613	Ligated ion channel L-glutamate- and glycine-binding site
PF00412	LIM domain
PF15332	Lck-interacting transmembrane adapter 1
PF11608	Limkain b1
PF01803	LIM-domain binding protein
PF03353	Ras-mediated vulval-induction antagonist
PF09585	Conserved hypothetical protein (Lin0512_fam)
PF15306	LIN37
PF10044	Retinal tissue protein
PF19438	LIN9 C-terminal
PF14695	Lines C-terminus
PF14694	Lines N-terminus
PF00538	linker histone H1 and H5 family
PF04454	Encapsulating protein for peroxidase
PF03583	Secretory lipase 
PF15904	LKB1 serine/threonine kinase interacting protein 1
PF00151	Lipase
PF03893	Lipase 3 N-terminal region
PF01674	Lipase (class 2)
PF01764	Lipase (class 3)
PF12262	Bacterial virulence factor lipase N-terminal
PF18067	Lipase C-terminal domain
PF03280	Proteobacterial lipase chaperone protein
PF00657	GDSL-like Lipase/Acylhydrolase
PF13472	GDSL-like Lipase/Acylhydrolase family
PF14606	GDSL-like Lipase/Acylhydrolase family
PF16255	GDSL-like Lipase/Acylhydrolase
PF12888	Lipid-binding putative hydrolase
PF08557	Sphingolipid Delta4-desaturase (DES)
PF10520	Lipid desaturase domain
PF16876	Lipin/Ned1/Smp2 multi-domain protein middle domain
PF04571	lipin, N-terminal conserved region
PF12103	Surface lipoprotein of Spirochaetales order
PF00061	Lipocalin / cytosolic fatty-acid binding protein family
PF08212	Lipocalin-like domain
PF12702	Lipocalin-like
PF13648	Lipocalin-like domain
PF13924	Lipocalin-like domain
PF14651	Lipocalin / cytosolic fatty-acid binding protein family
PF16585	Lipocalin-like domain
PF17186	Lipocalin-like domain
PF00820	Borrelia lipoprotein
PF03202	Putative mycoplasma lipoprotein, C-terminal region
PF03260	Lepidopteran low molecular weight (30 kD) lipoprotein
PF03640	Secreted repeat of unknown function
PF03923	Uncharacterized lipoprotein
PF04200	Lipoprotein associated domain
PF06804	NlpB/DapX lipoprotein
PF13617	YnbE-like lipoprotein
PF00921	Borrelia lipoprotein
PF13942	YfhG lipoprotein
PF14041	LppP/LprE lipoprotein
PF17294	Uncharacterised lipoprotein family
PF18966	Uncharacterised lipoprotein
PF00938	Lipoprotein
PF01441	Lipoprotein
PF01540	Adhesin lipoprotein
PF02030	Hypothetical lipoprotein (MG045 family)
PF03180	NlpA lipoprotein
PF07553	Host cell surface-exposed lipoprotein
PF03305	Mycoplasma MG185/MG260 protein
PF08794	Lipoprotein GNA1870 C terminal like
PF00305	Lipoxygenase
PF03279	Bacterial lipid A biosynthesis acyltransferase
PF10437	Bacterial lipoate protein ligase C-terminus
PF07207	Light regulated protein Lir1
PF08513	LisH
PF16045	LisH
PF17814	LisH-like dimerisation domain
PF14954	Limb expression 1
PF15478	Family of unknown function with LKAAEAR motif
PF06261	Actinobacillus actinomycetemcomitans leukotoxin activator LktC
PF14945	Normal lung function maintenance, Low in Lung Cancer 1 protein
PF15838	LLLL and CFNLAS motif-containing protein 1
PF08366	LLGL2
PF04791	LMBR1-like membrane protein
PF11209	LmeA-like phospholipid-binding 
PF06762	Lipase maturation factor
PF14421	A distinct subfamily of CDD/CDA-like deaminases
PF04778	LMP repeated region
PF07988	LMSTEN motif
PF01451	Low molecular weight phosphotyrosine protein phosphatase
PF12211	Low molecular weight S layer protein N terminal
PF18238	LnmK N-terminal Hot Dog Fold domain
PF15419	Leukemia NUP98 fusion partner 1
PF08235	LNS2 (Lipin/Ned1/Smp2)
PF20154	Apolipoprotein N-acyltransferase N-terminal domain
PF03195	Lateral organ boundaries (LOB) domain
PF18417	L-lysine epsilon oxidase C-terminal domain
PF17990	L-Lysine epsilon oxidase N-terminal
PF10158	Tumour suppressor protein
PF03548	Outer membrane lipoprotein carrier protein LolA
PF16584	Outer membrane lipoprotein carrier protein LolA
PF19574	Outer membrane lipoprotein carrier protein LolA-like
PF17131	Outer membrane lipoprotein-sorting protein
PF03550	Outer membrane lipoprotein LolB
PF13774	Regulated-SNARE-like domain
PF18639	Yeast longin domain
PF13337	Putative ATP-dependent Lon protease
PF05362	Lon protease (S16) C-terminal proteolytic domain
PF02190	ATP-dependent protease La (LON) substrate-binding domain 
PF04525	LURP-one-related
PF15847	Major keratinocyte cell envelope protein
PF08139	Prokaryotic membrane lipoprotein lipid attachment site
PF13627	Prokaryotic lipoprotein-attachment site
PF18796	Large polyvalent protein-associated domain 1
PF18824	Large polyvalent protein-associated domain 11
PF18825	Large polyvalent protein-associated domain 13
PF18827	Large polyvalent protein-associated domain 14
PF18828	Large polyvalent-protein-associated domain 15
PF18830	Large polyvalent protein-associated domain 16
PF18832	Large polyvalent protein-associated domain 18
PF18834	Large polyvalent protein associated domain 22
PF18838	Large polyvalent protein associated domain 23
PF18839	Large polyvalent protein associated domain 24
PF18840	Large polyvalent protein associated domain 25
PF18842	Large polyvalent protein associated domain 26
PF18843	Large polyvalent protein associated domain 28
PF18847	Large polyvalent protein associated domain 29
PF18798	Large polyvalent protein-associated domain 3
PF18850	Large polyvalent protein associated domain 30
PF18852	Large polyvalent protein associated domain 34
PF18853	Large polyvalent protein associated domain 37
PF18857	Large polyvalent protein associated domain 38
PF18858	Large polyvalent protein associated domain 39
PF18799	Large polyvalent protein-associated domain 5
PF18821	Large polyvalent protein-associated domain 7
PF09924	Phosphatidylglycerol lysyltransferase, C-terminal
PF03706	Lysylphosphatidylglycerol synthase TM region
PF03067	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF13036	Peptidoglycan-synthase activator LpoB
PF04728	Lipoprotein leucine-zipper
PF10738	Probable lipoprotein LpqN
PF02169	LPP20 lipoprotein
PF16708	Lipoprotein confined to pathogenic Mycobacterium
PF04348	LppC putative lipoprotein
PF07161	LppX_LprAFG lipoprotein
PF17301	Putative lipoprotein LpqV
PF07007	Lysozyme inhibitor LprI
PF06835	Lipopolysaccharide-assembly, LptC-related
PF04453	LPS transport system D
PF19838	LptD protein
PF03968	LptA/(LptD N-terminal domain) LPS transport protein
PF04390	Lipopolysaccharide-assembly
PF03739	Lipopolysaccharide export system permease LptF/LptG
PF02684	Lipid-A-disaccharide synthetase
PF03331	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF04613	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD  
PF06230	LpxI C-terminal domain
PF17930	LpxI N-terminal domain
PF02606	Tetraacyldisaccharide-1-P 4'-kinase
PF04970	Lecithin retinol acyltransferase
PF03788	LrgA family
PF04172	LrgB-like family 
PF15741	Ligand-dependent nuclear receptor-interacting factor 1
PF15176	Leucine-rich repeat family 19 TM domain
PF15779	Leucine-rich repeat-containing protein 37 family
PF14914	LRRC37A/B like protein 1 C-terminal domain
PF01463	Leucine rich repeat C-terminal domain
PF16920	Leucine rich repeat C-terminal motif
PF09738	LRRFIP family
PF01462	Leucine rich repeat N-terminal domain
PF08263	Leucine rich repeat N-terminal domain
PF00560	Leucine Rich Repeat
PF18805	Leucine-rich repeat
PF18831	Leucine-rich repeat
PF18837	Leucine-rich repeat
PF07723	Leucine Rich Repeat
PF07725	Leucine Rich Repeat
PF12799	Leucine Rich repeats (2 copies)
PF13306	BspA type Leucine rich repeat region (6 copies)
PF13516	Leucine Rich repeat
PF13855	Leucine rich repeat
PF14580	Leucine-rich repeat
PF08191	LRR adjacent
PF18779	Capping Ribonuclease inhibitor Leucine Rich Repeat
PF10422	Monopolin complex subunit LRS4
PF01816	Leucine rich repeat variant
PF05484	LRV protein FeS4 cluster
PF18139	SLOG in TRPM
PF18171	SLOG in TRPM, prokaryote
PF01423	LSM domain 
PF12701	Scd6-like Sm domain
PF06741	LsmAD domain
PF14894	Lsm C-terminal
PF05391	Lsm interaction motif
PF16605	LSM-interacting associated unstructured 
PF06049	Coagulation Factor V LSPD Repeat
PF05624	Lipolysis stimulated receptor (LSR)
PF11774	Lsr2 
PF14067	LssY C-terminus
PF05083	LST-1 protein
PF06453	Type II heat-labile enterotoxin , B subunit (LT-IIB)
PF00932	Lamin Tail Domain
PF14368	Probable lipid transfer
PF06772	Bacterial low temperature requirement A protein (LtrA)
PF17446	Late transcription unit A
PF17455	Late transcription unit B
PF04180	Low temperature viability protein 
PF07813	LTXXQ motif family protein
PF03194	LUC7 N_terminus
PF10284	Luciferase helical bundle domain
PF10285	Luciferase catalytic domain
PF05295	Luciferase/LBP N-terminal domain
PF02589	LUD domain
PF12893	Putative lumazine-binding
PF00677	Lumazine binding domain
PF06814	Lung seven transmembrane receptor
PF18242	Legionella ubiquitin-specific protease A domain
PF14854	Leucine rich adaptor protein 
PF14625	Lustrin, cysteine-rich repeated domain
PF00894	Luteovirus coat protein
PF08467	Luteovirus RNA polymerase P1-P2/replicase
PF04662	Luteovirus P0 protein
PF01659	Luteovirus putative VPg genome linked protein
PF05893	Acyl-CoA reductase (LuxC)
PF04443	Acyl-protein synthetase, LuxE
PF09308	LuxQ, periplasmic
PF02664	S-Ribosylhomocysteinase (LuxS)
PF18285	Tetracycline repressor LuxT C-terminal domain
PF08309	LVIVD repeat
PF04740	LXG domain of WXG superfamily
PF06579	Caenorhabditis elegans ly-6-related protein
PF08391	Ly49-like protein, N-terminal region
PF00206	Lyase
PF02278	Polysaccharide lyase family 8, super-sandwich domain
PF02884	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
PF08124	Polysaccharide lyase family 8, N terminal alpha-helical domain
PF00221	Aromatic amino acid lyase
PF09093	Lyase, catalytic
PF09092	Lyase, N terminal
PF18916	Lycopene cyclase
PF05834	Lycopene cyclase protein
PF16084	LydA-holin antagonist
PF15686	Lysine-rich CEACAM1 co-isolated protein family
PF00062	C-type lysozyme/alpha-lactalbumin family
PF09043	D-Lysine 5,6-aminomutase TIM-barrel domain of alpha subunit
PF01810	LysE type translocator
PF03641	Possible lysine decarboxylase
PF02402	Lysis protein
PF01476	LysM domain
PF13702	Lysozyme-like
PF03466	LysR substrate binding domain
PF01186	Lysyl oxidase 
PF03956	Lysine exporter LysO
PF02401	LytB protein
PF18342	Endo-beta-N-acetylglucosaminidase LytB WW domain
PF13399	LytR cell envelope-related transcriptional attenuator
PF03816	LytR_cpsA_psr family
PF04397	LytTr DNA-binding domain
PF07385	D-lyxose isomerase
PF18517	Leucine zipper with capping helix domain
PF14389	Leucine-zipper of ternary complex factor MIP1
PF13011	leucine-zipper of insertion element IS481
PF13007	Transposase C of IS166 homeodomain
PF04604	Type-A lantibiotic
PF10242	Lipoma HMGIC fusion partner-like protein
PF06673	Lactococcus lactis bacteriophage major capsid protein
PF06430	Lactococcus lactis RepB C-terminus
PF06488	Phage tail tube protein
PF15518	L protein N-terminus
PF02370	M protein repeat
PF03855	M-factor
PF06617	M-phase inducer phosphatase
PF12216	Immune evasion protein
PF11099	Apoptosis regulator M11L like
PF11624	MHC class I-like protein M157
PF08367	Peptidase M16C associated
PF07687	Peptidase dimerisation domain
PF09213	M3
PF17291	N-terminal domain of M60-like peptidases
PF16217	Peptidase M64 N-terminus
PF09245	Mycoplasma arthritidis-derived mitogen
PF02847	MA3 domain
PF16951	Putative methionine and alanine importer, small subunit
PF07476	Methylaspartate ammonia-lyase C-terminus
PF05034	Methylaspartate ammonia-lyase N-terminus
PF03281	Mab-21 protein
PF12464	Maltose acetyltransferase 
PF09028	Mac 1
PF12704	MacB-like periplasmic core domain
PF14865	Macin
PF09726	Macoilin family
PF01823	MAC/Perforin domain
PF01661	Macro domain
PF14519	Macro-like domain
PF03523	Macrophage scavenger receptor
PF16628	Unstructured region on maltose acetyltransferase
PF05557	Mitotic checkpoint protein
PF08311	Mad3/BUB1 homology region 1
PF08171	Mad3/BUB1 homology region 2
PF17014	Putative Mad3/BUB1 like region 1 protein
PF10545	Alcohol dehydrogenase transcription factor Myb/SANT-like
PF03817	Malonate transporter MadL subunit
PF03818	Malonate/sodium symporter MadM subunit
PF13017	piRNA pathway germ-plasm component
PF02545	Maf-like protein
PF09174	Maf1 regulator
PF06255	Neisseria toxin MafB
PF14437	MafB19-like deaminase
PF12750	Maff2 family
PF20156	Flagellin glycosyltransferase Maf helical bundle domain
PF01973	Protein of unknown function DUF115
PF20157	Glycosyltransferase Maf N-terminal domain
PF08383	Maf N-terminal region
PF01454	MAGE family
PF12440	Melanoma associated antigen family N terminal 
PF16663	Unstructured region on MAGI 
PF16666	Unstructured region on MAGI
PF09282	Mago binding
PF02792	Mago nashi protein
PF05507	Microfibril-associated glycoprotein (MAGP)
PF03082	Male accessory gland secretory protein
PF10608	Polyubiquitination (PEST) N-terminal domain of MAGUK
PF15077	Membrane-anchored junction protein 
PF04112	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
PF04874	Mak16 protein C-terminal region
PF18085	Maltokinase N-terminal cap domain  
PF12434	Malate dehydrogenase enzyme 
PF01274	Malate synthase
PF11721	Malectin domain
PF12819	Malectin-like domain
PF14785	Maltose transport system permease protein MalF P2 domain
PF00390	Malic enzyme, N-terminal domain
PF03949	Malic enzyme, NAD binding domain
PF07148	Maltose operon periplasmic protein precursor (MalM)
PF18703	MALT1 Ig-like domain
PF16657	Maltogenic Amylase, C-terminal domain
PF16957	Malonate decarboxylase, alpha subunit, transporter
PF00629	MAM domain, meprin/A5/mu
PF10434	Monopolin complex protein MAM1
PF02330	Mitochondrial glycoprotein
PF09596	MamL-1 domain
PF02157	Mannose-6-phosphate receptor
PF07502	MANEC domain
PF01232	Mannitol dehydrogenase Rossmann domain
PF08125	Mannitol dehydrogenase C-terminal domain
PF01050	Mannose-6-phosphate isomerase
PF17786	Mannosidase Ig/CBM-like domain
PF05007	Mannosyltransferase (PIG-M)
PF04188	Mannosyltransferase (PIG-V)
PF11051	Mannosyltransferase putative
PF15971	DolP-mannose mannosyltransferase
PF01575	MaoC like domain
PF13452	N-terminal half of MaoC dehydratase
PF03642	MAP domain
PF15807	Membrane-associated protein 117 kDa, PDZK1-interacting protein 1 
PF00414	Neuraxin and MAP1B repeat
PF08377	MAP2/Tau projection domain
PF13281	MAP3K TRAFs-binding domain
PF03999	Microtubule associated protein (MAP65/ASE1 family)
PF05672	MAP7 (E-MAP-115) family
PF07058	Microtubule-associated protein 70
PF01124	MAPEG family
PF08923	Mitogen-activated protein kinase kinase 1 interacting
PF18708	MapZ extracellular C-terminal domain 2
PF18041	MapZ extracellular domain 1
PF13999	MarB protein
PF01914	MarC family integral membrane protein
PF02063	MARCKS family
PF02124	Marek's disease glycoprotein A
PF07153	Marek's disease-like virus SORF3 protein
PF19687	MARF1 LOTUS domain
PF01047	MarR family
PF12802	MarR family
PF01284	Membrane-associating domain
PF10564	Sialic-acid binding micronemal adhesive repeat
PF02064	MAS20 protein import receptor
PF05231	MASE1
PF05230	MASE2 domain
PF17159	Membrane-associated sensor domain
PF17158	Membrane-associated sensor, integral membrane domain
PF17178	Membrane-associated sensor
PF08249	Mastoparan protein
PF08251	Mastoparan peptide
PF06391	CDK-activating kinase assembly factor MAT1
PF17043	Mating type protein 1-1-2 of unknown function
PF04769	Mating-type protein MAT alpha 1 HMG-box
PF16449	Fimbrillin MatB
PF07158	Dicarboxylate carrier protein MatC N-terminus
PF01554	MatE
PF00917	MATH domain
PF12737	C-terminal domain of homeodomain 1
PF12731	Mating-type protein beta 1
PF01824	MatK/TrnK amino terminal region
PF06303	MatP N-terminal domain
PF17414	MatP C-terminal ribbon-helix-helix domain
PF10393	Trimeric coiled-coil oligomerisation domain of matrilin
PF00661	Viral matrix protein
PF07291	Methylamine utilisation protein MauE
PF17419	Methylamine utilization protein MauJ
PF04014	Antidote-toxin recognition MazE, bacterial antitoxin
PF03819	MazG nucleotide pyrophosphohydrolase domain
PF12643	MazG-like family
PF18722	MazG C-terminal domain
PF07961	MBA1-like protein
PF01429	Methyl-CpG binding domain
PF16564	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF14048	C-terminal domain of methyl-CpG binding protein 2 and 3
PF04837	MbeB-like, N-term conserved region
PF04899	MbeD/MobD like 
PF08523	Multiprotein bridging factor 1
PF15868	Transcription activator MBF2
PF17883	MBG domain
PF18676	MBG domain (YGX type)
PF18887	MBG domain
PF03062	MBOAT, membrane-bound O-acyltransferase family
PF13813	Membrane bound O-acyl transferase family
PF17058	Mitochondrial biogenesis regulation protein 1
PF02820	mbt repeat
PF03621	MbtH-like protein
PF05854	Non-histone chromosomal protein MC1
PF19584	MCAfunc domain
PF10506	PDZ domain of MCC-2 bdg protein for Usher syndrome
PF19331	Methylcrotonoyl-CoA carboxylase subunit alpha BT domain
PF15707	Mitochondrial coiled-coil domain protein 1
PF17508	Microcin V bacteriocin
PF05292	Malonyl-CoA decarboxylase C-terminal domain
PF17408	Malonyl-CoA decarboxylase N-terminal domain
PF11887	Cholesterol uptake porter CUP1 of Mce4, putative
PF02289	Cyclohydrolase (MCH)
PF13072	Mother cell inhibitor of FtsZ
PF12341	Minichromosome loss protein, Mcl1, middle region
PF05934	Mid-1-related chloride channel (MCLC)
PF00493	MCM P-loop domain
PF09332	Mcm10 replication factor
PF12619	Mini-chromosome maintenance protein 2
PF16769	MCM3AP domain of GANP
PF18263	MCM6 C-terminal winged-helix domain
PF09739	Mini-chromosome maintenance replisome factor
PF17855	MCM AAA-lid domain
PF14551	MCM N-terminal domain
PF17207	MCM OB domain
PF12814	Meiotic cell cortex C-terminal pleckstrin homology
PF18182	minimal CRISPR polymerase domain
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF02993	Minor capsid protein VI
PF18509	Magnetochrome domain
PF06100	MCRA family
PF10117	McrBC 5-methylcytosine restriction system component
PF13325	N-terminal region of micro-spherule protein
PF02249	Methyl-coenzyme M reductase alpha subunit, C-terminal domain
PF02745	Methyl-coenzyme M reductase alpha subunit, N-terminal domain
PF02241	Methyl-coenzyme M reductase beta subunit, C-terminal domain
PF02783	Methyl-coenzyme M reductase beta subunit, N-terminal domain
PF04609	Methyl-coenzyme M reductase operon protein C
PF02505	Methyl-coenzyme M reductase operon protein D
PF02240	Methyl-coenzyme M reductase gamma subunit
PF11382	Copper transport outer membrane protein, MctB
PF04678	Mitochondrial calcium uniporter
PF12593	Microcystin synthetase C terminal
PF19315	Mesaconyl-CoA hydratase
PF06833	Malonate decarboxylase gamma subunit (MdcE)
PF10620	Phosphoribosyl-dephospho-CoA transferase MdcG
PF18376	Mevalonate 5-diphosphate decarboxylase C-terminal domain
PF15316	MyoD family inhibitor
PF02315	Methanol dehydrogenase beta subunit
PF15501	Nuclear protein MDM1
PF12519	Mitochondrial distribution and morphology protein 10
PF08118	Yeast mitochondrial distribution and morphology (MDM) proteins 
PF07398	MDMPI C-terminal domain
PF11716	Mycothiol maleylpyruvate isomerase N-terminal domain
PF04349	Periplasmic glucan biosynthesis protein, MdoG
PF11542	Mitochondrial division protein 1
PF06433	Methylamine dehydrogenase heavy chain (MADH)
PF02975	Methylamine dehydrogenase, L chain
PF06910	Male enhanced antigen 1 (MEA1)
PF03308	Methylmalonyl Co-A mutase-associated GTPase MeaB
PF05389	Negative regulator of genetic competence (MecA)
PF05223	NTF2-like N-terminal transpeptidase domain
PF09773	Meckelin (Transmembrane protein 67)
PF10744	Mediator of RNA polymerase II transcription subunit 1
PF09748	Transcription factor subunit Med10 of Mediator complex
PF10280	Mediator complex protein 
PF09497	Transcription mediator complex subunit Med12
PF12145	Eukaryotic Mediator 12 subunit domain
PF12144	Eukaryotic Mediator 12 catenin-binding domain
PF06333	Mediator complex subunit 13 C-terminal domain
PF11597	Mediator complex subunit 13 N-terminal
PF08638	Mediator complex subunit MED14
PF09606	ARC105 or Med15 subunit of Mediator complex non-fungal
PF05397	Mediator complex subunit 15
PF11635	Mediator complex subunit 16
PF10156	Subunit 17 of Mediator complex
PF09637	Med18 protein
PF10278	Mediator of RNA pol II transcription subunit 19 
PF11214	Mediator complex subunit 2
PF08612	TATA-binding related factor (TRF) of subunit 20 of Mediator complex
PF11221	Subunit 21 of Mediator complex
PF06179	Surfeit locus protein 5 subunit 22 of Mediator complex
PF11573	Mediator complex subunit 23
PF11277	Mediator complex subunit 24 N-terminal
PF11232	Mediator complex subunit 25 PTOV activation and synapsin 2
PF11244	Mediator complex subunit 25 C-terminal NR box-containing
PF11235	Mediator complex subunit 25 synapsin 1
PF11265	Mediator complex subunit 25 von Willebrand factor type A
PF08711	TFIIS helical bundle-like domain
PF15693	Mediator complex subunit 26 C-terminal
PF15694	Mediator complex subunit 26 middle domain
PF11571	Mediator complex subunit 27
PF11594	Mediator complex subunit 28
PF11568	Mediator complex subunit 29
PF11593	Mediator complex subunit 3 fungal
PF11315	Mediator complex subunit 30
PF05669	SOH1
PF10018	Vitamin-D-receptor interacting Mediator subunit 4
PF08689	Mediator complex subunit Med5
PF04934	MED6 mediator sub complex component
PF05983	MED7 protein
PF10232	Mediator of RNA polymerase II transcription complex subunit 8
PF07544	RNA polymerase II transcription mediator complex subunit 9
PF14417	MEDS: MEthanogen/methylotroph, DcmR Sensory domain
PF09047	MEF2 binding
PF17560	Aphid Megourins
PF13971	Meiosis-specific protein Mei4
PF10376	Double-strand recombination repair protein  
PF17021	Putative double-strand recombination repair-like
PF15189	Meiosis-specific coiled-coil domain-containing protein MEIOC
PF15163	Meiosis-expressed
PF03525	Meiotic recombination protein rec114
PF16493	N-terminal of Homeobox Meis and PKNOX1
PF08670	MEKHLA domain
PF19431	MEKK4 N-terminal
PF06236	Tyrosinase co-factor MelC1
PF08189	Meleagrin/Cygnin family
PF02065	Melibiase
PF16499	Alpha galactosidase A
PF17450	Alpha galactosidase A C-terminal beta sandwich domain
PF17801	Alpha galactosidase C-terminal beta sandwich domain
PF01372	Melittin
PF19221	MELT motif
PF15402	MELT motif
PF09746	Tumour-associated protein
PF14564	Membrane binding
PF01875	Memo-like protein
PF02964	Methane monooxygenase, hydrolase gamma chain
PF03547	Membrane transport protein
PF05053	Menin
PF10457	Cholesterol-capturing domain
PF08877	MepB protein
PF09074	Mer2
PF03243	Alkylmercury lyase
PF03203	MerC mercury resistance protein
PF05052	MerE protein
PF07133	Merozoite surface protein (SPAM)
PF00376	MerR family regulatory protein
PF09278	MerR, DNA binding
PF13411	MerR HTH family regulatory protein
PF13591	MerR HTH family regulatory protein
PF16934	Two-component Enterococcus faecalis cytolysin (EFC)
PF02411	MerT mercuric transport protein
PF10185	Chaperone for wingless signalling and trafficking of LDL receptor
PF06060	Pre-pro-megakaryocyte potentiating factor precursor (Mesothelin)
PF03724	META domain
PF01676	Metalloenzyme superfamily
PF12044	Putative peptidase family
PF00149	Calcineurin-like phosphoesterase
PF16370	C terminal of Calcineurin-like phosphoesterase
PF16371	N terminal of Calcineurin-like phosphoesterase
PF12850	Calcineurin-like phosphoesterase superfamily domain
PF14582	Metallophosphoesterase, calcineurin superfamily
PF14008	Iron/zinc purple acid phosphatase-like protein C
PF00131	Metallothionein
PF02066	Metallothionein family 11
PF01439	Metallothionein
PF02067	Metallothionein family 5
PF05522	Metallothionein
PF07846	Metallothionein family
